increment_id,status,store_name,discount_amount,shipping_description,base_shipping_amount,gift_cards,subtotal,shipping_amount,base_customer_balance_amount,grand_total,total_paid,total_refunded,total_due,created_at,_order_item_name,_order_item_sku,_order_item_original_price,_order_item_price,_order_item_qty_ordered,_order_item_qty_invoiced,_order_item_qty_shipped,_order_item_qty_canceled,_order_item_qty_refunded,_order_item_tax_percent,_order_item_tax_amount,_order_item_discount_amount,_order_item_row_total,_order_address_firstname,_order_address_lastname,_order_address_middlename,_order_address_prefix,_order_address_suffix,_order_address_company,_order_address_street,_order_address_city,_order_address_region,_order_address_postcode,_order_address_telephone,_order_address_email,_order_address_fax,_order_address_address_type,_payment_method,_order_status_history_comment,_order_status_history_status,_order_status_history_created_at,_invoice_increment_id,_invoice_state,_invoice_created_at,_invoice_grand_total,_invoice_billing_name
100000001,,"Main Website
Main Store
English",0,Flat Rate - Fixed,5,,59.99,5,0,64.99,,,64.99,02/08/2011 10:29,Microsoft Wireless Optical Mouse 5000,micronmouse5000,59.99,59.99,1,0,0,0,0,0,0,0,59.99,Andrew,Snape,B,Mr,,Internetware,"Newcastle Business Centre
6 Charlotte Square",Newcastle,Tyne and Wear,NE1 4XF,07525 612 337,,,billing,checkmo,,pending,02/08/2011 10:29,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Andrew,Snape,B,Mr,,Internetware,"Newcastle Business Centre
6 Charlotte Square",Newcastle,Tyne and Wear,NE1 4XF,07525 612 337,,,shipping,,Order updated by Zynk.,,11/08/2011 15:27,,,,,
100000002,Complete,"Main Website
Main Store
English",0,Flat Rate - Fixed,5,,59.99,5,0,77.99,,,77.99,02/08/2011 11:59,Microsoft Wireless Optical Mouse 5000,micronmouse5000,59.99,59.99,1,0,0,0,0,20,12,0,59.99,Andrew,Snape,B,Mr,,Internetware,"Newcastle Business Centre
6 Charlotte Square",Newcastle,Tyne and Wear,NE1 4XF,07525 612 337,andrew.snape@internetware.co.uk,,billing,checkmo,,pending,02/08/2011 11:59,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Andrew,Snape,B,Mr,,Internetware,"Newcastle Business Centre
6 Charlotte Square",Newcastle,Tyne and Wear,NE1 4XF,07525 612 337,andrew.snape@internetware.co.uk,,shipping,,Order updated by Zynk.,Complete,02/08/2011 13:37,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Order updated by Zynk.,Complete,02/08/2011 13:38,,,,,
100000003,canceled,"Main Website
Main Store
English",0,Flat Rate - Fixed,5,,59.99,5,0,77.99,,,77.99,02/08/2011 13:46,Microsoft Wireless Optical Mouse 5000,micronmouse5000,59.99,59.99,1,0,0,1,0,20,12,0,59.99,Andrew,Snape,B,Mr,,Internetware,"Newcastle Business Centre
6 Charlotte Square",Newcastle,Tyne and Wear,NE1 4XF,07525 612 337,andrew.snape@internetware.co.uk,,billing,checkmo,,pending,02/08/2011 13:46,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Andrew,Snape,B,Mr,,Internetware,"Newcastle Business Centre
6 Charlotte Square",Newcastle,Tyne and Wear,NE1 4XF,07525 612 337,andrew.snape@internetware.co.uk,,shipping,,Order updated by Zynk.,Complete,02/08/2011 13:49,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pending,17/08/2011 11:56,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,canceled,08/09/2011 13:47,,,,,
100000004,processing,"Main Website
Main Store
English",0,Flat Rate - Fixed,5,,750,5,0,906,906,,0,11/08/2011 15:50,HTC Touch Diamond,HTC Touch Diamond,750,750,1,1,0,0,0,20,150,0,750,first name,last name,middle,prefix,suffix,company,"street 1
street 2",city,state,postcode,tel number,, fax number,billing,checkmo,comments,pending,11/08/2011 15:50,100000001,Paid,12/08/2011 13:09,906,first name last name
